abbandono,-2
abbandonato,-2
abbandona,-2
rapito,-2
abduzione,-2
rapimenti,-2
abhor,-3
aborrito,-3
aberrante,-3
aborre,-3
abilità,2
capacità,2
a bordo,1
assente,-1
assenti,-1
assolvere,2
assolto,2
assolve,2
assolvere,2
assorbito,1
abusi,-3
abusato,-3
abusi,-3
abusivo,-3
accettare,1
accettato,1
accettando,1
accetta,1
incidente,-2
accidentali,-2
accidentalmente,-2
incidenti,-2
realizzare,2
compiuta,2
compie,2
accusa,-2
accuse,-2
accusare,-2
accusato,-2
accusa,-2
accusando,-2
dolore,-2
realizzabile,1
dolorante,-2
assolvere,2
assolve,2
assolto,2
assolvere,2
aspro,-3
attivo,1
adeguata,1
ammirare,3
ammirato,3
ammira,3
ammirando,3
ammettere,-1
ammette,-1
ha ammesso,-1
ammonire,-2
ammoniti,-2
adottare,1
adotta,1
adorabile,3
Adore,3
adorato,3
adora,3
advanced,1
vantaggio,2
vantaggi,2
avventura,2
avventure,2
avventuroso,2
colpiti,-1
affetto,3
affettuoso,3
afflitto,-1
offeso,-1
paura,-2
aggravare,-2
aggravata,-2
aggrava,-2
aggravante,-2
aggressione,-2
aggressioni,-2
aggressivo,-2
atterrito,-2
agog,2
agonize,-3
agonizzante,-3
agonises,-3
agonizzante,-3
agonize,-3
agonizzante,-3
agonizza,-3
agonizzante,-3
d'accordo,1
piacevole,2
concordato,1
Accordo,1
concorda,1
allarme,-2
allarmato,-2
allarmista,-2
allarmisti,-2
ahimè,-1
avviso,-1
alienazione,-2
vivo,1
allergico,-2
consentire,1
solo,-2
stupire,2
stupito,2
stupisce,2
sorprendente,4
ambiziosa,2
ambivalenti,-1
divertire,3
divertito,3
divertimento,3
divertimenti,3
rabbia,-3
Angers,-3
arrabbiato,-3
angoscia,-3
angosciato,-3
animosità,-2
infastidire,-2
fastidio,-2
infastidito,-2
fastidioso,-2
infastidisce,-2
antagonista,-2
contro,-1
anticipazione,1
ansia,-2
ansioso,-2
apatico,-3
apatia,-3
apeshit,-3
apocalittico,-2
scusarsi,-1
scusato,-1
scusa,-1
scusandosi,-1
scusarsi,-1
scusato,-1
scusa,-1
scusandosi,-1
scuse,-1
sgomento,-2
spaventosa,-2
placare,2
placato,2
placa,2
placare,2
applaudire,2
applaudito,2
applaudire,2
applaude,2
applausi,2
apprezzare,2
apprezzato,2
apprezza,2
apprezzare,2
apprezzamento,2
apprensivo,-2
approvazione,2
approvato,2
approva,2
ardente,1
arrestare,-2
arrestati,-3
arresti,-2
arrogante,-2
ashame,-2
vergogna,-2
ass,-4
assassinio,-3
assassinii,-3
patrimoniale,2
beni,2
assfucking,-4
stronzo,-4
stupito,2
stupire,3
stupito,3
stupefacente,3
incredibilmente,3
stupisce,3
attacco,-1
attaccato,-1
attaccare,-1
attacchi,-1
attrarre,1
attratto,1
attrarre,2
attrazione,2
attrazioni,2
attrae,1
audaci,3
Autorità,1
scongiurare,-1
scongiurato,-1
scongiura,-1
avido,2
evitare,-1
evitato,-1
evita,-1
attendono,-1
atteso,-1
attende,-1
premio,3
assegnato,3
premi,3
impressionante,4
terribile,-3
imbarazzante,-2
ax,-1
cartesiano,-1
sostenuta,1
supporto,2
spalle,1
male,-3
cazzuto,-3
male,-3
salvataggio,-2
Bamboozle,-2
ingannati,-2
bamboozles,-2
divieto,-2
bandire,-1
bancarotta,-3
bankster,-3
vietato,-2
affare,2
barriera,-2
bastardo,-5
bastardi,-5
battaglia,-1
battaglie,-1
battuto,-2
beatifica,3
battitura,-1
bellezze,3
bello,3
bello,3
abbellire,3
sminuire,-2
sminuito,-2
amata,3
beneficio,2
benefici,2
beneficiato,2
A BENEFICIO,2
priverai,-2
lutto,-2
bereaves,-2
bereaving,-2
meglio,3
tradire,-3
il tradimento,-3
tradito,-3
tradire,-3
tradisce,-3
meglio,2
pregiudizi,-1
di parte,-2
grande,1
cagna,-5
femmine,-5
amaro,-2
amaramente,-2
bizzarro,-2
bla,-2
colpa,-2
la colpa,-2
incolpa,-2
colpa,-2
benedica,2
benedice,2
benedizione,3
cieco,-1
beatitudine,3
beato,3
blithe,2
blocco,-1
blockbuster,3
bloccato,-1
blocco,-1
blocchi,-1
sanguinosa,-3
sfocata,-2
vanagloriosi,-2
grassetto,2
coraggio,2
bomba,-1
aumentare,1
potenziato,1
aumentando,1
aumenta,1
foro,-2
annoiato,-2
noioso,-3
fastidio,-2
infastidito,-2
disturba,-2
fastidioso,-2
boicottaggio,-2
boicottato,-2
boicottaggio,-2
boicottaggi,-2
lavaggio del cervello,-3
coraggioso,2
svolta,3
mozzafiato,5
corrompere,-3
luminoso,1
brillanti,2
luminosità,1
brillante,4
vivace,2
rotto,-1
rotto,-1
cova,-2
bullismo,-2
stronzate,-4
bullo,-2
bullismo,-2
rottura,-2
vivace,2
onere,-2
gravata,-2
gravare,-2
oneri,-2
calma,2
calmato,2
calmante,2
calma,2
non può stare,-3
annullare,-1
annullato,-1
la cancellazione,-1
annulla,-1
cancro,-1
capace,1
affascinato,3
cura,2
spensierato,1
attento,2
attenzione,2
disattento,-2
se ne frega,2
incassare,-2
vittima,-2
la catastrofe,-3
catastrofica,-4
prudenti,-1
celebrare,3
celebre,3
celebra,3
festeggiare,3
censurare,-2
censurato,-2
censori,-2
certo,1
dispiacere,-2
mortificato,-2
sfida,-1
possibilità,2
probabilità,2
caos,-2
caotico,-2
carica,-3
oneri,-2
fascino,3
affascinante,3
privo di fascino,-3
castigare,-3
castigato,-3
rimprovera,-3
castigare,-3
imbrogliare,-3
truffati,-3
imbroglione,-3
imbroglioni,-3
trucchi,-3
allegria,2
applaudito,2
allegro,2
tifo,2
triste,-2
applausi,2
allegro,3
amare,2
caro,2
cura teneramente,2
coltivare,2
chic,2
infantile,-2
agghiacciante,-1
soffocare,-2
soffocato,-2
bobine,-2
soffocamento,-2
chiarisce,2
chiarezza,2
scontro,-2
di classe,3
pulito,2
pulito,2
chiaro,1
eliminato,1
chiaramente,1
cancella,1
intelligente,2
offuscato,-1
incompetenti,-2
gallo,-5
succhiacazzi,-5
Cocksuckers,-5
presuntuoso,-2
costretto,-2
collasso,-2
crollato,-2
