abandonar,-2
abandonado,-2
abandona,-2
secuestrado,-2
secuestro,-2
secuestros,-2
aborrecer,-3
aborrecido,-3
aberrante,-3
aborrece,-3
habilidades,2
capacidad,2
bordo,1
en ausencia,-1
ausencia,-1
ausentes,-1
absolver,2
absueltos,2
absuelve,2
absolver,2
absorbida,1
abuso,-3
abusado,-3
abusos,-3
abusivo,-3
aceptar,1
aceptado,1
aceptar,1
acepta,1
accidente,-2
accidental,-2
accidentalmente,-2
accidentes,-2
lograr,2
logrado,2
logra,2
acusación,-2
acusaciones,-2
acusar,-2
acusado,-2
acusa,-2
acusando,-2
dolor,-2
alcanzables,1
dolor,-2
absolver,2
absuelve,2
absueltos,2
absolver,2
mordaz,-3
activo,1
adecuada,1
admirar,3
admirado,3
admira,3
admirando,3
admitir,-1
admite,-1
admitido,-1
amonestar,-2
advertido,-2
adoptar,1
adopta,1
adorable,3
adore,3
adorado,3
adora,3
avanzada,1
ventaja,2
ventajas,2
aventura,2
aventuras,2
aventurero,2
afectada,-1
afecto,3
cariñoso,3
afligidos,-1
ofendida,-1
miedo,-2
agravar,-2
agravado,-2
agrava,-2
agravante,-2
agresión,-2
agresiones,-2
agresiva,-2
horrorizado,-2
agog,2
agonizar,-3
agonizante,-3
agoniza,-3
agonizante,-3
agonizar,-3
agonizante,-3
agoniza,-3
agonizante,-3
de acuerdo,1
agradable,2
acordado,1
acuerdo,1
está de acuerdo,1
alarma,-2
alarmado,-2
alarmista,-2
alarmistas,-2
por desgracia,-1
alerta,-1
alienación,-2
viva,1
alérgica,-2
permitir,1
solo,-2
sorprender,2
sorprendido,2
sorprende,2
increíble,4
ambicioso,2
ambivalente,-1
divertir,3
divertida,3
diversiones,3
diversiones,3
ira,-3
enoja,-3
enojado,-3
angustia,-3
angustiado,-3
animosidad,-2
molestar,-2
molestia,-2
molesto,-2
molesto,-2
molesta,-2
antagónica,-2
anti,-1
anticipación,1
ansiedad,-2
ansioso,-2
apáticos,-3
apatía,-3
energúmeno,-3
hecho una fiera,-3
como una moto,-3
apocalíptica,-2
disculparse,-1
disculpado,-1
disculpa,-1
disculpándose,-1
disculparse,-1
disculpado,-1
disculpa,-1
disculpándose,-1
disculpa,-1
aterrado,-2
atroz,-2
apaciguar,2
